0,True,0.0,1500
1,0,1.0,1173
2,0,1.0,902
3,0,1.0,851
4,0,1.0,476
5,0,1.0,680
6,0,1.0,800
7,0,1.0,702
8,0,1.0,1183
9,0,1.0,1065
10,0,1.0,679
11,0,1.0,102
12,0,1.0,577
13,0,1.0,368
14,0,1.0,1166
15,0,1.0,421
16,0,1.0,1114
17,0,1.0,419
18,0,1.0,901
19,0,1.0,27
20,0,0.0,1500
21,0,1.0,1114
22,0,1.0,1146
23,0,1.0,1101
24,0,1.0,687
25,0,1.0,1039
26,0,1.0,526
27,0,1.0,1123
28,0,1.0,865
29,0,1.0,988
30,0,1.0,201
31,0,1.0,794
32,0,1.0,1350
33,0,1.0,942
34,0,1.0,658
35,0,1.0,332
36,0,1.0,917
37,0,1.0,851
38,0,1.0,823
39,0,1.0,1170
40,0,1.0,1234
41,0,1.0,1227
42,0,1.0,982
43,0,1.0,407
44,0,1.0,751
45,0,1.0,1422
46,0,1.0,1038
47,0,1.0,583
48,0,1.0,688
49,0,1.0,1057
50,True,0.0,1500
51,[0],1.0,1369
52,[0],1.0,694
53,[0],1.0,962
54,[0],1.0,594
55,[1],0.0,1500
56,[0],1.0,545
57,[1],0.0,1500
58,[0],1.0,1326
59,[0],1.0,1286
60,[0],1.0,351
61,[0],1.0,985
62,[0],0.0,1500
63,[1],0.0,1500
64,[0],1.0,407
65,[1],0.0,1500
66,[0],1.0,803
67,[0],1.0,181
68,[0],1.0,867
69,[0],1.0,958
70,[1],0.0,1500
71,[1],0.0,1500
72,[0],1.0,678
73,[0],1.0,491
74,[1],0.0,1500
75,[0],1.0,1395
76,[0],1.0,261
77,[1],0.0,1500
78,[0],1.0,877
79,[0],1.0,1226
80,[0],1.0,1328
81,[0],1.0,616
82,[1],1.0,1421
83,[0],1.0,714
84,[0],1.0,1313
85,[0],1.0,565
86,[0],1.0,924
87,[1],0.0,1500
88,[0],1.0,522
89,[1],0.0,1500
90,[1],0.0,1500
91,[1],0.0,1500
92,[1],0.0,1500
93,[0],1.0,836
94,[1],0.0,1500
95,[0],1.0,1013
96,[1],1.0,455
97,[0],1.0,1380
98,[0],1.0,1305
99,[0],1.0,290
100,True,0.0,1500
101,[1],0.0,1500
102,[1],0.0,1500
103,[0],1.0,545
104,[1],0.0,1500
105,[1],0.0,1500
106,[1],0.0,1500
107,[1],0.0,1500
108,[1],0.0,1500
109,[1],0.0,1500
110,[0],1.0,648
111,[0],1.0,560
112,[1],0.0,1500
113,[0],1.0,264
114,[0],1.0,275
115,[1],0.0,1500
116,[0],1.0,771
117,[1],0.0,1500
118,[1],0.0,1500
119,[0],1.0,370
120,[1],0.0,1500
121,[1],0.0,1500
122,[1],0.0,1500
123,[0],1.0,1053
124,[1],0.0,1500
125,[1],0.0,1500
126,[0],1.0,1218
127,[1],0.0,1500
128,[1],0.0,1500
129,[1],0.0,1500
130,[1],0.0,1500
131,[1],0.0,1500
132,[0],1.0,741
133,[0],1.0,884
134,[0],1.0,1024
135,[1],0.0,1500
136,[0],1.0,1109
137,[0],1.0,1208
138,[0],1.0,1153
139,[1],0.0,1500
140,[1],0.0,1500
141,[1],0.0,1500
142,[0],1.0,415
143,[0],1.0,643
144,[0],1.0,789
145,[1],0.0,1500
146,[1],0.0,1500
147,[1],0.0,1500
148,[0],1.0,1012
149,[0],1.0,770
150,True,0.0,1500
151,[0],1.0,694
152,[0],1.0,1008
153,[0],1.0,986
154,[0],1.0,464
155,[1],1.0,352
156,[1],0.0,1500
